A a;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
ab;;52
aber;;30
acht;;24
alle;;46
als;;30
am;;30
Ameise;;54
Ampel;;24
Amsel;;24
an;;30
Anfang;Anfänge;24
Apfel;Äpfel;49
April;;57
arbeiten;du arbeitest;30
arm;ärmer;30
Arm;;30
Ast;Äste;49
auf;;30
Aufgabe;;24
aufwachen;du wachst auf;24
August;;57
aus;;30
;;
Weitere Wörter;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
B b;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
Baby;Babys;36
Bach;Bäche;49
backen;du backst, Bäcker;42
baden;du badest, Bad, Bäder;24
Bär;;36
Bank;Bänke;33
Bauch;Bäuche;24, 49
Baum;Bäume;49
Bein;;24
bequem;;33
Besen;;24
Biene;;24, 54
Birne;;24
bis;;30
bitten;du bittest, ich bat, Bitte;42
blau;;39
bleiben;du bleibst, ich blieb;39
Blüte;;39
Blume;;39
bluten;du blutest, Blut;39
böse;;24
boxen;Boxer;36
brauchen;du brauchst;39
braun;;39
Brief;;39
bringen;du bringst, ich brachte;39
Brot;;39
Bruder;Brüder;39
Buch;Bücher;24
Butter;;42
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
C c;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
Cent;;36
Comic;;36
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
D d;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
da;;30
Dach;Dächer;24, 49
Dachs;;24
danken;du dankst, Dank;33
dann;;46
das ;;30
Daumen;;24
Decke;;42
dem;;30
den;;30
denken;du denkst, ich dachte, Gedanke;33
der;;30
Dezember;;57
dich;;30
die;;30
Dieb;Diebe;49
Dienstag;;57
dir;;30
Donnerstag;;57
dort;;30
Dose;;24
Drache;;39
drei;;39
du;;30
dürfen;du darfst, ich durfte;24
dunkel;Dunkelheit;33
Dusche;duschen;24
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
E e;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
Eimer;;24
ein(-);;30
einmal;;30
Eis;;24
Ende;;24
Engel;;24
Enkel;;33
Ente;;24
er;;30
Erde;;24
erst;;30
es;;30
Esel;;24
essen;du isst, ich aß;42
euch;;30
Eule;;24, 54
eure(-);;30
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
F f;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
Fach;Fächer;49
Faden;Fäden;24
fallen;du fällst, ich fiel;42
fangen;du fängst, er fängt, ich fing;24, 49
Farbe;;30
Februar;;57
Feder;;24
Fenster;;24
Fest;;24
Fieber;;24
finden;du findest, ich fand;24
Finger;;24
Fisch;;54
Flasche;;24
Fliege;du fliegst, ich flog, fliegen;24
fließen;du fließt, ich floss;36
Flöte;;24
Frage;fragen, du fragst;24
Frau;;24
Freitag;;57
Freude;(sich) freuen, du freust dich;24
Freund;Freunde, Freundin, freundlich;49
Frosch;Frösche;24
Frühling;;57
Fuchs;Füchse;24
Füller;;42
für;;30
Fuß;Füße;36
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
G g;Weitere (ggf. fehleranfällige) Wortformen;Seite im GRUNDWORTSCHATZ
;;
Gabel;;24
Garten;Gärten;30
Gast;Gäste;49
Gemüse;;24
gern;;30
Geschenk;schenken;33
Gesicht;Gesichter;24
Glas;Gläser;39
glauben;du glaubst, Glaube;39
gleich;;39
graben;du gräbst, ich grub;39
Gras;Gräser;39
grau;;39
grün;;39
gut;;24
;;
Weitere Wörter ;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
