;A a;Meine Notizen
;;
;ab;
;aber;
;acht;
;alle;
;als;
;am;
die;Ameise;
die;Ampel;
die;Amsel;
;an;
der;Anfang;
der;Apfel;
der;April;
;arbeiten;
;arm;
der;Arm;
der;Ast;
;auf;
die;Aufgabe;
;aufwachen;
der;August;
;aus;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;B b;Meine Notizen
;;
das;Baby;
der;Bach;
;backen;
;baden;
der;Bär;
die;Bank;
der;Bauch;
der;Baum;
das;Bein;
;bequem;
der;Besen;
die;Biene;
die;Birne;
;bis;
;bitten;
;blau;
;bleiben;
die;Blüte;
die;Blume;
;bluten;
;böse;
;boxen;
;brauchen;
;braun;
der;Brief;
;bringen;
das;Brot;
der;Bruder;
das;Buch;
die;Butter;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;C c;Meine Notizen
;;
der;Cent;
der;Comic;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;D d;Meine Notizen
;;
;da;
das;Dach;
der;Dachs;
;danken;
;dann;
;das;
der;Daumen;
die;Decke;
;dem;
;den;
;denken;
;der;
der;Dezember;
;dich;
;die;
der;Dieb;
der;Dienstag;
;dir;
der;Donnerstag;
;dort;
die;Dose;
der;Drache;
;drei;
;du;
;dürfen;
;dunkel;
die;Dusche;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;E e;Meine Notizen
;;
der;Eimer ;
;ein(-);
;einmal;
das;Eis;
das;Ende;
der;Engel;
der;Enkel;
die;Ente;
;er;
die;Erde;
;erst;
;es;
der;Esel;
;essen;
;euch;
die;Eule;
;eure(-);
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;F f;Meine Notizen
;;
das;Fach;
der;Faden;
;fallen;
;fangen;
die;Farbe;
der;Februar;
die;Feder;
das;Fenster;
das;Fest;
das;Fieber;
;finden;
der;Finger;
der;Fisch;
die;Flasche;
die;Fliege;
;fliegen;
;fließen;
die;Flöte;
die;Frage;
;fragen;
die;Frau;
der;Freitag;
die;Freude;
der;Freund;
der;Frosch;
der;Frühling;
der;Fuchs;
der;Füller;
;für;
der;Fuß;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;G g;Meine Notizen
;;
die;Gabel;
der;Garten;
